"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"1-hr","54","232","232","232","232","232","232","231","231","230","230","228","227","192","162","127","108","102","95","89","79","72","66","61","57","53","44","36","27","21","13"
"1-hr","55","224","224","224","224","224","224","223","223","222","222","221","219","188","166","135","104","98","92","86","77","70","65","60","56","52","43","35","26","21","14"
"1-hr","56","216","216","216","216","216","216","216","215","215","214","213","212","189","164","141","101","96","90","84","74","68","63","58","54","51","42","34","26","20","14"
"1-hr","57","208","208","208","208","208","208","208","207","207","207","205","204","182","164","142","98","93","88","82","73","67","61","57","53","50","41","33","25","20","14"
"1-hr","58","202","202","202","202","202","202","201","201","201","200","199","198","176","159","141","94","90","85","79","71","65","60","55","52","48","39","32","25","20","14"
"1-hr","59","195","195","195","195","195","195","195","195","194","194","193","192","174","162","137","92","88","83","78","69","63","59","54","51","47","38","31","24","19","14"
"1-hr","60","189","189","189","189","189","189","189","188","188","188","187","186","179","157","133","89","85","80","76","67","62","57","53","49","46","37","30","23","19","14"
"1-hr","61","183","183","183","183","183","183","183","183","182","182","181","180","179","152","135","87","83","79","74","65","60","56","52","48","45","36","30","23","19","14"
"1-hr","62","177","177","177","177","177","177","177","177","177","177","176","175","174","150","134","83","80","76","72","64","58","54","50","47","44","35","29","22","18","13"
"1-hr","63","172","172","172","172","172","172","172","172","172","171","171","170","169","148","135","81","79","75","71","63","57","53","49","46","43","35","28","22","18","13"
"1-hr","64","167","167","167","167","167","167","167","167","167","166","166","165","164","144","131","79","76","73","69","61","56","52","48","45","42","34","27","21","18","13"
"1-hr","65","162","162","162","162","162","162","162","162","162","162","161","160","159","140","133","77","74","71","67","60","55","51","47","44","42","33","27","21","17","13"
"1-hr","66","158","158","158","158","158","158","158","157","157","157","156","156","155","139","130","76","72","69","65","58","53","49","46","43","40","32","26","20","17","13"
"1-hr","67","153","153","153","153","153","153","153","153","153","153","152","151","151","142","127","80","71","68","64","57","52","48","45","42","40","31","25","20","17","13"
"1-hr","68","149","149","149","149","149","149","149","149","149","148","148","147","146","145","123","85","68","66","62","56","51","47","44","41","39","30","25","19","16","13"
"1-hr","69","145","145","145","145","145","145","145","145","145","144","144","143","143","142","123","89","67","64","61","55","50","46","43","40","38","30","24","19","16","13"
"1-hr","70","141","141","141","141","141","141","141","141","141","141","140","140","139","138","121","93","65","63","60","54","49","45","42","40","37","29","24","18","16","13"
"1-hr","71","137","137","137","137","137","137","137","137","137","137","136","136","135","135","118","92","64","61","59","53","48","44","42","39","37","29","23","18","15","12"
"1-hr","72","134","134","134","134","134","134","134","134","134","133","133","132","132","131","115","91","62","60","57","51","46","43","40","38","36","28","23","18","15","12"
"1-hr","73","130","130","130","130","130","130","130","130","130","130","130","129","128","128","113","91","61","59","56","51","46","42","40","37","35","27","22","17","15","12"
"1-hr","74","127","127","127","127","127","127","127","127","127","127","126","126","125","125","116","88","59","57","55","49","45","41","39","36","34","27","22","17","14","12"
