Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
,Hydrogen Sulfide (H2S),41.58,182.28,182.28
Minnesota Soybean Processors - Brewster,Nitrogen Oxides,133.952,254.3729,158.0129
,Sulfur Dioxide,26.000157,83.4500391,46.5700391
,Carbon Monoxide,50.335,136.679,136.679
,PM < 10 micron,737.543,"14,948.20129",156.36129
,PM < 2.5 micron,36.675,"9,075.14129",118.22129
Minnesota Valley Alfalfa Producers-MnVAP,Nitrogen Oxides,21.53,94.31,94.31
,Sulfur Dioxide,0.11,0.5,0.5
,Carbon Monoxide,3.6,15.77,15.77
,PM < 10 micron,186.359,815.952,399.772
,PM < 2.5 micron,187.82,822.45,398.99
MMPA - Minnesota River Station,Nitrogen Oxides,71.09,311.4,240
,Sulfur Dioxide,220,964,240
,Carbon Monoxide,43.3,189,69.2
,PM < 10 micron,5.01,22,15.2
,PM < 2.5 micron,5.01,22,15.2
MOM Brands,Nitrogen Oxides,49.914,146.92,0
,Sulfur Dioxide,1.372338,0.82663,0
,Carbon Monoxide,44.11,127.67,0
,PM < 10 micron,37.70107,156.9953,0.94
,PM < 2.5 micron,37.51307,161.9999,0.37
Multek Flexible Circuits Inc,Nitrogen Oxides,29.43,24.18,24.18
,Sulfur Dioxide,0.02922,0.1082,0.1082
,Carbon Monoxide,6.506,15.747,15.747
,PM < 10 micron,91.067152,398.79269,62.91269
,PM < 2.5 micron,91.06744,398.78469,62.90469
Nahan Printing Inc - St Cloud,Nitrogen Oxides,14.1,61.8,61.8
,Sulfur Dioxide,0.00204,0.009,0.009
,Carbon Monoxide,12.9,56.4,56.4
,PM < 10 micron,6.268,27.34,27.34
New Flyer of America Inc - St Cloud,Nitrogen Oxides,28.492,60.76,60.76
,Sulfur Dioxide,1.10796,0.6012,0.6012
,Carbon Monoxide,14.256,48.64,48.64
,PM < 10 micron,56.31,"2,950.6",241.81
,PM < 2.5 micron,56.31,"2,950.6",241.81
New Page - Duluth Paper Mill,Nitrogen Oxides,0.4,1.752,1.752
,Sulfur Dioxide,0.002,0.01,0.01
,Carbon Monoxide,0.336,1.47,1.47
,PM < 10 micron,57.2,163.173,163.173
,PM < 2.5 micron,22.65,78.733,78.733
,Hydrogen Sulfide (H2S),4,17.5,17.5
New Ulm Public Utilities - Municipal Power,Nitrogen Oxides,462.68,"2,018.73","1,700.14"
,Sulfur Dioxide,310.43,"1,307.39",820
,Carbon Monoxide,64.74,282.87,272.85
,PM < 10 micron,11.19,61.59,31.42
,PM < 2.5 micron,11.13,61.59,31.42
Newport Terminal Corp,Nitrogen Oxides,9.86,23.24,22.26
,Sulfur Dioxide,2.89,3.742,3.200295
,Carbon Monoxide,12.998,54.919,54.8215
,PM < 10 micron,0.1316,0.2439,0.22758
,PM < 2.5 micron,0.0796,0.0199,0.00358
Nico Products Inc,Nitrogen Oxides,2.2824,9.998,9.998
,Sulfur Dioxide,0.011258,0.049312,0.049312
,Carbon Monoxide,1.5769,6.9076,6.9076
,PM < 10 micron,0.74103453,3.2445177,3.2445177
,PM < 2.5 micron,0.74103453,3.2445177,3.2445177
Norbord Minnesota,Nitrogen Oxides,44.8,,196
,Sulfur Dioxide,16.54,,72.4
,Carbon Monoxide,41.4,,182
,PM < 10 micron,46.131,,202.1
,PM < 2.5 micron,31.37,,137.4
Northern Border Pipeline - Compressor 12,Nitrogen Oxides,92.12,239.53,239.53
,Sulfur Dioxide,2.10204,9.300116,9.300116
,Carbon Monoxide,23.5,98.27,98.27
,PM < 10 micron,2.13,9.3,9.3
Northern Border Pipeline - Compressor 13,Nitrogen Oxides,64.4,344.72,242.72
,Sulfur Dioxide,2.15282,9.420706,9.420706
,Carbon Monoxide,40.26,102.57,102.57
,PM < 10 micron,2.2532,9.4733,9.4733
Northern Engraving Corp,Nitrogen Oxides,12.07723,54.2725,40.9342
,Sulfur Dioxide,0.797976,5.385880000,4.73195
,Carbon Monoxide,21.8227,94.974100000,24.565
,PM < 10 micron,20.511134,85.8212,28.94456
,PM < 2.5 micron,20.5122915,85.82589,28.94456
,Nitrogen Dioxide,0.2265569,0.992349,0.059349
Northern Foundry LLC,Nitrogen Oxides,19.73,31.54,43.26
,Sulfur Dioxide,1.6065,2.25,2.78
,Carbon Monoxide,8.04,21.11,26.68
,PM < 10 micron,40.06,"2,087.78",128.67435
,PM < 2.5 micron,36.66,"1,845.53",118.9
Northern Iron of St Paul LLC,Nitrogen Oxides,5.38,23.66,15.22
,Sulfur Dioxide,1.4165,6.2368,0.0568
,Carbon Monoxide,2.45,10.75,7.95
,PM < 10 micron,428.1,"3,592.67",4.47
Northern Metal Recycling,PM < 10 micron,0.55,461.53,1.04
Northern Natural Gas - Albert Lea,Nitrogen Oxides,11.91,32.53,32.53
,Sulfur Dioxide,0.41751,1.7818,1.7818
,Carbon Monoxide,7.75,31.98,31.98
,PM < 10 micron,0.84,3.55,3.55
,PM < 2.5 micron,0.05,0.01,0.01
Northern Natural Gas Co - Carlton,Nitrogen Oxides,206.705,905.734,905.734
,Sulfur Dioxide,0.040686,0.17308,0.17308
,Carbon Monoxide,31.141,136.43,136.43
,PM < 10 micron,3.1312,13.6598,13.6598
,PM < 2.5 micron,3.1442,13.7341,13.7341
Northern Natural Gas Co - Faribault Compressor,Nitrogen Oxides,21.4,55.17,55.17
,Sulfur Dioxide,2.94,10.06,10.06
,Carbon Monoxide,17.47,65.06,65.06
,PM < 10 micron,5.92,22.31,22.31
Northern Natural Gas Co - Farmington,Nitrogen Oxides,411.89,"1,741.12","1,741.12"
,Sulfur Dioxide,0.2612,1.10941,1.10941
,Carbon Monoxide,48.74,211.24,211.24
,PM < 10 micron,2.04,6.17,6.17
,PM < 2.5 micron,1.419,6.17,6.17
Northern Natural Gas Co - Hugo,Nitrogen Oxides,7.64,25.29,25.29
,Sulfur Dioxide,0.035,0.15,0.15
,Carbon Monoxide,17.33,72.78,72.78
,PM < 10 micron,2.39,10.403,5.2
Northern Natural Gas Co - North Branch,Nitrogen Oxides,207.535,891.37,891.37
,Sulfur Dioxide,1.17301,0.4536,0.4528
,Carbon Monoxide,25.441,109.74,109.74
,PM < 10 micron,4.3154,18.931,13.931
,PM < 2.5 micron,4.3154,15.551,10.551
Northern Natural Gas Co - Owatonna,Nitrogen Oxides,21.31,54.9,54.9
,Sulfur Dioxide,2.92,10.03,10.03
,Carbon Monoxide,16.87,64.69,64.69
,PM < 10 micron,5.88,22.22,22.22
Northern Natural Gas Co - Wrenshall LNG Plant,Nitrogen Oxides,53.89758,235.9734,211.1734
,Sulfur Dioxide,5.3317422,23.3544995,23.3544995
,Carbon Monoxide,26.516,115.944,110.3163
,PM < 10 micron,2.58872,11.48938,9.74438
,PM < 2.5 micron,2.58342,11.48938,9.74438
Northland Aluminum Products Inc,Nitrogen Oxides,3.88628,9.667,8.483
,Sulfur Dioxide,0.012924,0.054536,0.050029
,Carbon Monoxide,1.903,7.7712,7.1242
,PM < 10 micron,14.38591,695.82147,23.95767
,PM < 2.5 micron,13.91591,642.46147,22.31667
Northshore Mining Co - Babbitt,Nitrogen Oxides,12.94,56.64,56.64
,Sulfur Dioxide,91.88,402.41,402.41
,Carbon Monoxide,1.41,6.21,6.21
,PM < 10 micron,546.04,"19,459.61","2,311.04"
Northshore Mining Co - Silver Bay,Nitrogen Oxides,"4,014.6","17,572.2","17,572.2"
,Sulfur Dioxide,"8,522.4","37,308","37,306.5"
,Carbon Monoxide,611.92,"2,681.8","2,681.8"
,PM < 10 micron,"1,697.39","7,779.101","7,507.287"
,PM < 2.5 micron,0.012,0.04,0.012
Northstar Ethanol LLC dba Poet Biorefining - Lake Crystal,Nitrogen Oxides,486.63386,"2,131.45193",112.72193
,Sulfur Dioxide,8.19,35.78,1.76
,Carbon Monoxide,34.28,150.08,114.45
,PM < 10 micron,29.88,501.83,81.86
,PM < 2.5 micron,16.16,114.12,22.46
NRG Energy Center Minneapolis,Nitrogen Oxides,693.43,"3,037.22",155
,Sulfur Dioxide,"3,422.44","14,990.23",24.22
,Carbon Monoxide,187.81,822.55,41.17
,PM < 10 micron,170.35,746.23,2.79
NuStar - Sauk Centre Terminal,Nitrogen Oxides,2.46,10.8,4.46
,Sulfur Dioxide,0.268,1.178,1.178
,Carbon Monoxide,6.16,27,11.06
,PM < 10 micron,0.32,1.406,1.406
,PM < 2.5 micron,0.32,1.406,1.406
Olmsted Waste-to-Energy Facility,Nitrogen Oxides,471.18,"1,202.4","1,972.9"
,Sulfur Dioxide,403.7,,460.01
,Carbon Monoxide,105.66,"1,202.76",413.21
,PM < 10 micron,34.18,,146.38
Otter Tail Power Co,Nitrogen Oxides,"2,721.3135","13,741.26","13,741.26"
,Sulfur Dioxide,"21,600.8588","94,611.77","94,610.29"
,Carbon Monoxide,"1,109.173","4,858.45","4,853.6"
,PM < 10 micron,"4,599.7396","16,758.1016","14,870.9116"
,PM < 2.5 micron,"4,592.518","16,738.24","14,839.32"
Otter Tail Power Co - Solway Plant,Nitrogen Oxides,171.1,751.76,473.42
,Sulfur Dioxide,41.224,182.13,140.521
,Carbon Monoxide,98.3,430.38,302.69
,PM < 10 micron,10.308,45.7,33.56
,PM < 2.5 micron,10.3,45.7,33.47
Owatonna Energy Station,Nitrogen Oxides,132.3,579.54,237.49
,Sulfur Dioxide,0.21,0.89,0.4006
,Carbon Monoxide,204.52,895.81,28.52
,PM < 10 micron,5.65,24.75,11.05
,PM < 2.5 micron,5.65,24.75,11.05
Owens Corning - Minneapolis Plant,Nitrogen Oxides,20.62,,55.85
,Sulfur Dioxide,63.8,,241.54
,Carbon Monoxide,34.5,,125.11
,PM < 10 micron,24.74,0,96.91
Pan-O-Gold Baking Co,Nitrogen Oxides,7.778,34.08,34.08
,Sulfur Dioxide,0.0434,0.2035,0.2035
,Carbon Monoxide,6.534,28.59,28.59
,PM < 10 micron,0.583,2.583,2.583
Park Nicollet Methodist Hospital,Nitrogen Oxides,139.48,96.12,85.53
,Sulfur Dioxide,61.116,218.054,95.544
,Carbon Monoxide,41.34,47.07,53.49
,PM < 10 micron,11.227,5.333,5.283
,PM < 2.5 micron,8.955,5.637,5.597
Perham Resource Recovery Facility,Nitrogen Oxides,394.62,584.4,"1,729.47"
,Sulfur Dioxide,58.599,771.8535,256.72
,Carbon Monoxide,54.78,335.6,240.1
,PM < 10 micron,23.3439,,102.835
,PM < 2.5 micron,23.32587,,102.7557
,Hydrogen Sulfide (H2S),0.657,,0.288
Pine Bend Energy LLC,Nitrogen Oxides,,,112.76
,Sulfur Dioxide,3.72,16.28,16.59
,Carbon Monoxide,,,157.77
,PM < 10 micron,3.9,17.08,17.42
Plasti Fab,Nitrogen Oxides,12.98,56.82,15.84
,Sulfur Dioxide,3.821,16.758,14.21
,Carbon Monoxide,15.17,66.45,98.67
,PM < 10 micron,10.825,54.862,54.862
,PM < 2.5 micron,10.806,47.378,47.378
Plato Woodwork Inc,Nitrogen Oxides,1.5294,6.6988,6.6988
,Sulfur Dioxide,0.0093,0.0402,0.0402
,Carbon Monoxide,1.2846,5.6271,5.6271
,PM < 10 micron,75.7781,"1,153.3791",111.2771
,PM < 2.5 micron,62.5781,"1,035.9191",111.2771
Plymouth Foam Inc,Nitrogen Oxides,2.16,9.49,9.49
,Sulfur Dioxide,0.251,1.094,1.094
,Carbon Monoxide,1.21,5.27,5.27
,PM < 10 micron,0.101,0.49,0.49
,PM < 2.5 micron,0.112,0.491,0.491
POET Biorefining - Preston,Nitrogen Oxides,18.98,83.13,83.13
,Sulfur Dioxide,7.983,34.78,34.78
,Carbon Monoxide,21.512,608.13,94.18
,PM < 10 micron,30.883,"2,141.714",115.714
Polaris Industries Inc - Roseau,Nitrogen Oxides,147.714,643.7,0
,Sulfur Dioxide,182.3666,32.9968,32.0088
,Carbon Monoxide,"1,836.904","8,053.18",0
,PM < 10 micron,106.6946,467.112,0
,PM < 2.5 micron,106.6946,467.104,0
Polaris Industries Inc - Wyoming,Nitrogen Oxides,20.77,91,
,Sulfur Dioxide,1.37,6.02,
,Carbon Monoxide,4.48,19.6,
,PM < 10 micron,1.47,6.46,
Polk County Solid Waste Facility,Nitrogen Oxides,50.91,223.1,337.88
,Sulfur Dioxide,19.04,166.42,69.82
,Carbon Monoxide,14.1,66.3,34.68
,PM < 10 micron,3.218,178.12,30.04
Pope/Douglas Solid Waste Management,Nitrogen Oxides,354.34,495,714
,Sulfur Dioxide,51.18,694.509,223.909
,Carbon Monoxide,43.38,276.21,190.12
,PM < 10 micron,25.94,0.11,113.55
,PM < 2.5 micron,25.94,,113.66
Potlatch Land & Lumber LLC - Bemidji,Nitrogen Oxides,75.6,331.2,331.2
,Sulfur Dioxide,6.3,27.6,27.6
,Carbon Monoxide,126,552,552
,PM < 10 micron,493.23,"1,257.32",108.65
,PM < 2.5 micron,275.38,"1,178.72",61.49
Princeton Public Utilities Commission,Nitrogen Oxides,323.62,"1,448.53",
,Sulfur Dioxide,15.68,81.67,
,Carbon Monoxide,89.04,390.1,
,PM < 10 micron,7.65,33.47,
,PM < 2.5 micron,7.41,32.42,
QG Printing III Corp,Nitrogen Oxides,63.64,277.66,277.66
,Sulfur Dioxide,0.439541,1.67903,1.67903
,Carbon Monoxide,53.36,232.9587,232.9587
,PM < 10 micron,"21,504.98","13,476.54",198.34
,PM < 2.5 micron,"21,508.90004","13,476.5876",198.3876
Quad/Graphics Holding Company,Nitrogen Oxides,12.86,56.36,56.36
,Sulfur Dioxide,0.0739,0.316,0.316
,Carbon Monoxide,10.78,47.36,47.36
,PM < 10 micron,0.978,4.3,4.3
Rahr Malting Co,Nitrogen Oxides,75.23,231.85,39.03
,Sulfur Dioxide,31.72,132.598,0.71
,Carbon Monoxide,40.532,156.87,45.25
,PM < 10 micron,50.323000000,734.031,147.5059
,PM < 2.5 micron,38.6066,149.9891,112.580900000
Rayven Inc,Nitrogen Oxides,2.272,9.93,
,Sulfur Dioxide,0.055,0.231,
,Carbon Monoxide,1.31,5.744,
,PM < 10 micron,0.121,0.535,
,PM < 2.5 micron,0.121,0.535,
Redwood Falls Public Utilities - S Plant,Nitrogen Oxides,253.89,"1,112.03",
,Sulfur Dioxide,0.12,0.51,0.09
,Carbon Monoxide,22.81,99.89,20.19
,PM < 10 micron,3.78,16.56,3.34
,PM < 2.5 micron,3.78,16.56,3.34
Release Coatings of Minneapolis Inc,Nitrogen Oxides,0.666,2.921,
,Sulfur Dioxide,0.004,0.0175,
,Carbon Monoxide,0.56,2.452,
,PM < 10 micron,2.59,11.321,11.321
Rexam Beverage Can Co - St Paul,PM < 10 micron,0.45,1.92,1.92
,PM < 2.5 micron,0.45,1.92,1.92
Ritrama Inc,Nitrogen Oxides,12.63,55.27,55.27
,Sulfur Dioxide,0.97,4.24,4.24
,Carbon Monoxide,7.26,31.9,31.9
,PM < 10 micron,0.66,2.96,2.96
,PM < 2.5 micron,0.66,2.96,2.96
Rochester Public Utilities - Silver Lake Plant,Nitrogen Oxides,128.78,515.59,515.59
,Sulfur Dioxide,0.27929,1.1225,1.1225
,Carbon Monoxide,39.2,157.15,157.15
,PM < 10 micron,3.5496,14.219,14.219
,PM < 2.5 micron,3.5496,14.219,14.219
Rochester Public Utilities Cascade Creek,Nitrogen Oxides,"1,643.32","7,193.2","2,868.6624"
,Sulfur Dioxide,184.992,810.272,198.852
,Carbon Monoxide,332.06,"1,453.586",988.3972
,PM < 10 micron,22.504,98.472,63.1333
,PM < 2.5 micron,22.484,98.384,63.1329
Rochester Public Utilities Westside Energy Station,Nitrogen Oxides,25.11,"1,657.8",96.91
,Sulfur Dioxide,0.7672,3.2117,2.035515
,Carbon Monoxide,42.15,"2,384.28",142.76
,PM < 10 micron,24.46,107.08,73.1
,PM < 2.5 micron,24.46,107.08,73.1
RPU - IBM Peaking Diesel Generators,Nitrogen Oxides,122,534,54.88
,Sulfur Dioxide,1.72,7.6,0.78
,Carbon Monoxide,5.66,24.8,2.6
,PM < 10 micron,1.18,5.2,0.54
RR Donnelley Maple Grove,Nitrogen Oxides,13.989,61.278,
,Sulfur Dioxide,0.11,0.4619,
,Carbon Monoxide,7.35,35.353,
,PM < 10 micron,0.754,3.27,
,PM < 2.5 micron,0.754,3.27,
Saint Cloud State University Entire Campus,Nitrogen Oxides,12.3,53.9,39.9
,Sulfur Dioxide,43.1,188.8,26.6
,Carbon Monoxide,7.2,31.5,31.5
,PM < 10 micron,1.2,5.3,3.2
Saint James Diesel Generating Plant,Nitrogen Oxides,678.96,"2,973.84",0
,Sulfur Dioxide,0.324,1.44,0
,Carbon Monoxide,11.736,51.36,0
,PM < 10 micron,5.64,24.72,0
,PM < 2.5 micron,5.64,24.72,0
Saint Paul Park Refining Co LLC,Nitrogen Oxides,443.2298,"1,622.2505","1,040.1205"
,Sulfur Dioxide,"1,187.49278","5,198.77642","2,298.48942"
,Carbon Monoxide,326.4303,"1,429.8018","1,515.1818"
,PM < 10 micron,88.3714,387.1294,387.1594
,PM < 2.5 micron,80.1884,351.3694,351.3994
,Hydrogen Sulfide (H2S),0,0,0
Sanimax USA LLC,Nitrogen Oxides,19.838,119.556,86.896
,Sulfur Dioxide,21.33,93.43,93.43
,Carbon Monoxide,14.5426,63.6982,63.6982
,PM < 10 micron,16.2729,652.204,53.0748
,PM < 2.5 micron,10.0751,440.9968,34.306
Sappi Cloquet LLC,Nitrogen Oxides,"1,421.965","8,950.801","6,194.241"
,Sulfur Dioxide,"3,111.373069","20,155.201394","7,810.981394"
,Carbon Monoxide,"14,593.567","61,818.99","63,072.71"
,PM < 10 micron,313.82516,"15,962.80044","1,372.75144"
,PM < 2.5 micron,210.798508,"10,216.71264",921.56264
,Hydrogen Sulfide (H2S),14.77,41.991,36.871
,Nitrogen Dioxide,6.73333,47.800831,8.822831
Savage Riverport,PM < 10 micron,103.306,"1,635.03",5.16
,PM < 2.5 micron,103.302,278.7,3.83
SB Foot Tanning Co,Nitrogen Oxides,8.56,37.41,37.41
,Sulfur Dioxide,2.4728,10.7824,10.7824
,Carbon Monoxide,5.28,23.08,23.08
,PM < 10 micron,236.498,"7,085.44",3.86
,PM < 2.5 micron,326.148,"7,084.32",2.74
Schwieter's Companies Inc,Nitrogen Oxides,,1.3,1.3
,Sulfur Dioxide,,0,0
,Carbon Monoxide,,1.1,1.1
,PM < 10 micron,"1,220.58","1,336.62",0
Shakopee Distributed Generation,Nitrogen Oxides,46.15,"2,061.25",5.2
,Sulfur Dioxide,2.195,3.75,3.75
,Carbon Monoxide,65.55,"3,310.25",1.1
,PM < 10 micron,28.65,119.35,119.35
,PM < 2.5 micron,28.65,119.35,119.35
Shakopee Sand LLC,Nitrogen Oxides,21.58,141.72,94.6
,Sulfur Dioxide,0.2148,6.5012,0.9612
,Carbon Monoxide,16.38,257.42,71.7
,PM < 10 micron,58.221385,"3,410.52474",224.796667
,PM < 2.5 micron,50.0425203,"1,031.196439",206.6110967
Silgan Containers Mfg Corp - Savage,Nitrogen Oxides,5.896,25.81,25.81
,Sulfur Dioxide,0.171,0.73,0.73
,Carbon Monoxide,0.785,3.57,3.57
,PM < 10 micron,0.443,1.914,1.914
SMMPA Methane Energy Facility,Nitrogen Oxides,4.92,21.57,21.57
,Sulfur Dioxide,0.23,1.47,1.47
,Carbon Monoxide,23.14,101.36,101.36
,PM < 10 micron,0.216,0.945,0.945
,PM < 2.5 micron,0.216,0.945,0.945
,Hydrogen Sulfide (H2S),0.000206,0.0009,0.0009
Southern Minnesota Beet Sugar Coop,Nitrogen Oxides,"1,087.01","2,750.5","2,741.85"
,Sulfur Dioxide,"1,709.5586","7,475.6863","7,364.0792"
,Carbon Monoxide,80.58,349.28,339.38
,PM < 10 micron,"1,177.742","4,232.2303",598.69
,PM < 2.5 micron,"1,048.8951","3,435.1544",859.90852
Specialty Minerals Inc,Nitrogen Oxides,45.76,200.36,200.36
,Sulfur Dioxide,3.56,12.32,12.32
,Carbon Monoxide,225.72,247.16,247.16
,PM < 10 micron,2.5,525.72,7.448
,PM < 2.5 micron,2.5,525.72,7.448
Specialty Minerals Inc - Cloquet,Nitrogen Oxides,28.36,124.2,
,Sulfur Dioxide,58.56,256.51,
,Carbon Monoxide,358.51,"1,570.25",
,PM < 10 micron,1.91,8.379,
,PM < 2.5 micron,1.91,8.379,
,Hydrogen Sulfide (H2S),0.3616,1.584,
Spectro Alloys Corp,Nitrogen Oxides,20.668,85.215,85.215
,Sulfur Dioxide,0.781738,3.418457,3.418457
,Carbon Monoxide,7.1754,22.371,22.371
,PM < 10 micron,22.7471,835.88947,2.13347
,PM < 2.5 micron,22.5706,834.52007,1.89487
Spring Valley Terminal,Nitrogen Oxides,3.36,14.74,14.74
,Carbon Monoxide,8.4,36.84,36.84
Spring Valley Utilities,Nitrogen Oxides,219.83,962.84,94.99
,Sulfur Dioxide,4.5912,20.0853,1.9653
,Carbon Monoxide,46.46,203.51,22.09
,PM < 10 micron,3.99,17.49,1.94
Spruce Ridge Resource Management Facility,Nitrogen Oxides,34.65,151.64,151.64
,Sulfur Dioxide,0.98,4.04,4.04
,Carbon Monoxide,76.89,336.41,336.41
,PM < 10 micron,4.96,21.2,21.2
St Paul Brass & Aluminum Foundry,Nitrogen Oxides,3.908,17.118,2.663
,Sulfur Dioxide,3.8382,16.791,0.046
,Carbon Monoxide,1.108,4.876,2.226
,PM < 10 micron,40.985,858.88,11.147
Streater LLC,Nitrogen Oxides,5.598,24.479,24.479
,Sulfur Dioxide,0.022899,0.10024,0.10024
,Carbon Monoxide,3.15699,14.117,14.117
,PM < 10 micron,0.30124,1.6047,1.28912
,PM < 2.5 micron,0.30124,1.3185,1.3185
Strongwell - Chatfield Division,Nitrogen Oxides,1.2923,1.106,1.106
,Sulfur Dioxide,0.001293,0.0050733,0.0050733
,Carbon Monoxide,2.0155,1.164,0.7
,PM < 10 micron,47.10368,"1,266.92242",206.36242
,PM < 2.5 micron,47.10368,"1,266.92242",206.36242
Styrotech Inc,Nitrogen Oxides,2.14,9.38,9.38
,Sulfur Dioxide,0.248,1.082,1.082
,Carbon Monoxide,1.384,6.06,6.06
,PM < 10 micron,0.126,0.548,0.548
,PM < 2.5 micron,0.126,0.548,0.548
SunOpta Grains & Foods Inc,Nitrogen Oxides,1.356,7.71,7.71
,Sulfur Dioxide,0.02,0.3,0.06
,Carbon Monoxide,0.276,1.496,5.096
,PM < 10 micron,20.04,87.13,
Sunrise Fiberglass LLC,PM < 10 micron,1.88,8.21,8.21
,PM < 2.5 micron,1.88,8.21,8.21
Superior Minerals Co,Nitrogen Oxides,,60.08,60.08
,Sulfur Dioxide,,106.6,106.8
,Carbon Monoxide,,42.56,42.56
,PM < 10 micron,,7.24,7.24
Suzlon Rotor Corp,Nitrogen Oxides,18.99,,4.75
,Sulfur Dioxide,3.2,,0.8
,Carbon Monoxide,4.35,,1.09
,PM < 10 micron,1.32,,3.49
Swift Pork Co - Worthington,Nitrogen Oxides,3.75,16.48,16.48
,Sulfur Dioxide,0.0261,0.1,0.1
,Carbon Monoxide,3.16,13.83,13.83
,PM < 10 micron,0.2838,1.25,1.25
Target North Campus T0591,Nitrogen Oxides,495.233,"1,821.702",214.822
,Sulfur Dioxide,1.44953,5.96607,0.88395
,Carbon Monoxide,46.69,116.238,32.02
,PM < 10 micron,7.1766,23.8627,6.0847
,PM < 2.5 micron,7.0658,23.4547,5.6767
Target Technology Center,Nitrogen Oxides,397.76,119.92,119.92
,Sulfur Dioxide,0.28,0.096,0.096
,Carbon Monoxide,5.68,1.944,1.944
,PM < 10 micron,2.4,0.8,0.8
,PM < 2.5 micron,2.4,0.8,0.8
The C Reiss Coal Co - Duluth Dock,Nitrogen Oxides,3.404,14.61,14.61
,Sulfur Dioxide,0.2089,0.9358,0.9358
,Carbon Monoxide,22.1,107.4,90
,PM < 10 micron,1.5396,6.7415,1.5315
,PM < 2.5 micron,0.2586,1.1235,1.0745
The Toro Co - Lyndale,Nitrogen Oxides,581.7933,"2,579.8804",12.5868
,Sulfur Dioxide,38.1380906,162.710818,162.710818
,Carbon Monoxide,"11,720.89455","50,606.637000000",8.127
,PM < 10 micron,41.212838,175.38201,175.38201
,PM < 2.5 micron,66.592838000,175.38201,175.38201
Titan Lansing Transloading LLC - North Branch,Nitrogen Oxides,11.36,80.86,49.76
,Sulfur Dioxide,0.08,0.36,0.36
,Carbon Monoxide,35.5,186.58,155.5
,PM < 10 micron,5.75,"6,314.749",26.469
,PM < 2.5 micron,5.45185,"6,312.549",24.269
Tuohy Furniture Corp - Chatfield,Nitrogen Oxides,0.28,1.2,1.2
,Sulfur Dioxide,0.03,0.14,0.14
,Carbon Monoxide,0.75,3.29,3.29
,PM < 10 micron,72.65,318.66,21.43
,PM < 2.5 micron,72.67,318.32,21.21
Twin City Concrete Products Co - Saint Paul,Nitrogen Oxides,6.64,29.2,29.2
,Sulfur Dioxide,0.018,0.08,0.08
,Carbon Monoxide,2.56,11.22,11.22
,PM < 10 micron,82.2944,"51,817.06",355.3
Unimin Corp - Kasota Mining Project,Nitrogen Oxides,32.268,141.42,141.42
,Sulfur Dioxide,11.468,50.22,50.22
,Carbon Monoxide,18.596,81.52,81.52
,PM < 10 micron,6.052,136.712,16.591
Unimin Corp - Ottawa Plant,Nitrogen Oxides,9.42,41.3,41.4
,Sulfur Dioxide,3.34,14.66,14.66
,Carbon Monoxide,5.42,23.8,23.78
,PM < 10 micron,9.715000000,355.086,42.385000000
United Taconite LLC - Fairlane Plant,Nitrogen Oxides,"16,054.39","70,306.9","23,928.9"
,Sulfur Dioxide,"5,639.83","35,177.1","16,406.1"
,Carbon Monoxide,300.88,"1,317.7","1,317.7"
,PM < 10 micron,"1,434.85","76,985.6","4,343.37"
United Taconite LLC - Thunderbird Mine,Nitrogen Oxides,7.6,33.3,33.3
,Sulfur Dioxide,19.21,61.3,61.3
,Carbon Monoxide,1.9,8.2,8.2
,PM < 10 micron,414.1,"5,348.5","1,659.4"
University of Minnesota - Crookston,Nitrogen Oxides,77.6,211.016,0.0376
,Sulfur Dioxide,185.878342,806.541808,131.328533
,Carbon Monoxide,34.5214,"1,132.2701",41.4117
,PM < 10 micron,85.27837,361.96182,91.29322
,PM < 2.5 micron,81.58224,348.68182,85.11302
University of Minnesota - Duluth,Nitrogen Oxides,201.05,292.84,18.989
,Sulfur Dioxide,215.446,918.162681,0.9616101
,Carbon Monoxide,42.582,98.728,8.1528
,PM < 10 micron,19.6314046,70.3983513,0.870211
,PM < 2.5 micron,19.6314046,70.3903513,0.870211
University of MN - Twin Cities,Nitrogen Oxides,"2,809.661","12,015.155",218.745
,Sulfur Dioxide,"2,063.286","16,236.129",15.869
,Carbon Monoxide,798.964000000,"3,338.503",299.363
,PM < 10 micron,"1,501.4236","23,822.7756",45.1256
,PM < 2.5 micron,11.0418,41.5977,27.2977
US Postal Service Management Support Service Ctr,Nitrogen Oxides,423.91,"1,855.37",84.68
,Sulfur Dioxide,,224.44,
,Carbon Monoxide,68.49,300.44,13.14
,PM < 10 micron,,16.52,
,PM < 2.5 micron,,16.52,
US Steel Corp - Keetac,Nitrogen Oxides,"19,618.23","65,919.6504","39,717.3454"
,Sulfur Dioxide,"2,031.16335","23,289.01485","8,011.75325"
,Carbon Monoxide,227.302,996.0945,996.0945
,PM < 10 micron,"1,134.63438","182,426.897028","7,359.407028"
,PM < 2.5 micron,565.87138,"98,820.627011","2,724.402011"
US Steel Corp - Minntac,Nitrogen Oxides,"25,403.05","110,412.31","69,885.11"
,Sulfur Dioxide,"7,102.153","31,071.15","31,071.15"
,Carbon Monoxide,"2,141.26","9,340.3","9,340.3"
,PM < 10 micron,"80,192.460000000","351,437.79","32,073.390000000"
USG Interiors - Red Wing,Nitrogen Oxides,157.82,691.31,691.31
