Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
AmeriPride Services Inc - Minneapolis,Nitrogen Oxides,8.47868,25.09703,25.09703
,Sulfur Dioxide,0.038,0.14751,0.14751
,Carbon Monoxide,6.58708,20.95108,20.95108
,PM < 10 micron,2.53227,2.30707,2.30707
,PM < 2.5 micron,1.46127,2.30707,2.30707
AmeriPride Services Inc - Saint Cloud,Nitrogen Oxides,4,17.6,17.6
,Sulfur Dioxide,0.443,2.02,2.02
,Carbon Monoxide,2.32,10.19,10.19
,PM < 10 micron,1.11,4.84,4.84
,PM < 2.5 micron,1.11,4.84,4.84
AMPI - Rochester,Nitrogen Oxides,157,674.43,23
,Sulfur Dioxide,351.78,"1,472.83",2.38
,Carbon Monoxide,38.36,168.02,6.12
,PM < 10 micron,32.34,136.71,36.26
,PM < 2.5 micron,23.193,98.354,34.754
Anchor Glass Container Corp,Nitrogen Oxides,488.26,"2,138.58","2,036.18"
,Sulfur Dioxide,257.16,"1,126.32","1,072.3"
,Carbon Monoxide,28.8,126.1,120.48
,PM < 10 micron,124.59,542.59,426.042
Andersen Corp,Nitrogen Oxides,174.43,"1,060.99",337.54
,Sulfur Dioxide,35.71202,143.254177,34.624177
,Carbon Monoxide,181.1,"1,209.57",437.35
,PM < 10 micron,115.8517,"59,670.7921",330.39
,PM < 2.5 micron,3.43,,
ANI Pharmaceuticals Inc,Nitrogen Oxides,13.044,57.08,8.8
,Sulfur Dioxide,0.782,3.429,0.232
,Carbon Monoxide,3.648,15.947,5.577
,PM < 10 micron,0.931,4.077,0.654
,PM < 2.5 micron,0.931,4.077,0.654
ArcelorMittal Minorca Mine Inc,Nitrogen Oxides,"1,830.96","10,448.9",
,Sulfur Dioxide,"1,024.149","4,488.67","4,468"
,Carbon Monoxide,48.47,355.74,
,PM < 10 micron,446.165,"93,694.6","3,384.89"
Arctic Cat Inc,Nitrogen Oxides,127.49,480.88,
,Sulfur Dioxide,6.84,27.57239,
,Carbon Monoxide,734.86,"3,208.54",
,PM < 10 micron,8.3,33.66781,
,PM < 2.5 micron,8.3,33.66781,
Ardent Mills Flour Mill,Nitrogen Oxides,1.91,8.38,8.38
,Sulfur Dioxide,6.89,30.16,30.16
,Carbon Monoxide,1.07,4.69,4.69
,PM < 10 micron,472.1624,"215,037.1","1,737.49"
,PM < 2.5 micron,463.76152,"36,548.30864","1,729.43"
Associated Milk Producers - Paynesville,Nitrogen Oxides,69.801,305.748,305.748
,Sulfur Dioxide,115.645,506.492,9.194
,Carbon Monoxide,10.837,47.474,47.474
,PM < 10 micron,11.408,49.958,49.958
,PM < 2.5 micron,9.897,43.344,43.344
Avtec Finishing Systems Inc,PM < 10 micron,0.6317779,1.30281,1.30281
,PM < 2.5 micron,0.6263167,1.3028,1.3028
Badger Equipment Co,PM < 10 micron,76.92,"1,052.64",336.84
,PM < 2.5 micron,76.92,"1,052.64",336.84
Badger Foundry Co,Nitrogen Oxides,4.57,20.62,20
,Sulfur Dioxide,14.766,161.97,64.65
,Carbon Monoxide,43.86,192.15,192.15
,PM < 10 micron,27.92,"1,811.2",122.1
BAE Technology Center,Nitrogen Oxides,35.9,26.84,26.84
,Sulfur Dioxide,3.62,7.24,7.24
,Carbon Monoxide,9.26,12.46,12.46
,PM < 10 micron,2.65,2.45,2.45
,PM < 2.5 micron,2.65,2.45,2.45
Banta Direct Marketing - Chanhassen,Nitrogen Oxides,16.67,72.99,72.99
,Sulfur Dioxide,0.1002,0.4402,0.4402
,Carbon Monoxide,14.01,61.37,61.37
,PM < 10 micron,1.265,5.494,5.494
,PM < 2.5 micron,1.265,5.5,5.5
Barton Sand & Gravel - Elk River Pit 718,Nitrogen Oxides,2.29,10,10
,Sulfur Dioxide,0.00949,0.04,0.04
,Carbon Monoxide,1.32,5.78,5.78
,PM < 10 micron,10.813724,76.7721,43.6121
,PM < 2.5 micron,5.612724,21.5821,23.6721
Bay State Milling Co,Nitrogen Oxides,1.04,4.54,4.54
,Sulfur Dioxide,0.006,0.03,0.03
,Carbon Monoxide,0.87,3.81,3.81
,PM < 10 micron,0.786,94.48,4.04
,PM < 2.5 micron,0.486,46.08,2.16
Benson Light and Power,Nitrogen Oxides,687.13,"3,009.63",0
,Sulfur Dioxide,1.48,6.26,0.49
,Carbon Monoxide,30.55,243.35,12.17
,PM < 10 micron,8.13,35.63,4.49
,PM < 2.5 micron,8.13,35.63,4.49
Benson Power Biomass Plant,Nitrogen Oxides,508,"2,224","2,224"
,Sulfur Dioxide,728,"2,360","2,360"
,Carbon Monoxide,"1,140","3,328","3,328"
,PM < 10 micron,63.2,276,276
Bergquist Co - Cannon Falls,Nitrogen Oxides,4.976,21.79,21.79
,Sulfur Dioxide,0.0136,0.0593,0.0593
,Carbon Monoxide,1.121,8.3,8.3
,PM < 10 micron,0.1712,0.75,0.75
,PM < 2.5 micron,0.1712,0.75,0.75
Blandin Paper Co/MN Power - Rapids Energy Center,Nitrogen Oxides,204.7,857.94,745.99
,Sulfur Dioxide,2.6404,8.83,7.09
,Carbon Monoxide,207.18,897.96,726.7
,PM < 10 micron,30.3257,266.3475,106.2457
Blooming Prairie Public Utilities,Nitrogen Oxides,344.4,"1,508.46",182.08
,Sulfur Dioxide,0.15,0.65,0.08
,Carbon Monoxide,20.68,90.53,7.8
,PM < 10 micron,4.29,18.81,2.19
,PM < 2.5 micron,4.17,18.24,2.11
Blue Earth Light & Water,Nitrogen Oxides,636.53,"2,749.993",
,Sulfur Dioxide,9.06,34.669,
,Carbon Monoxide,110.24,465.688,
,PM < 10 micron,12.68,52.995,
,PM < 2.5 micron,12.68,52.995,
Blue Grass Proteins WWTP,Nitrogen Oxides,37.33,172.02,163.3
,Sulfur Dioxide,54.889,553.84,240.39
,Carbon Monoxide,15.96,53.11,54.11
,PM < 10 micron,39.34,175.71,167.35
Boise White Paper LLC - Intl Falls,Nitrogen Oxides,"1,137.32","4,969.88","4,209.35"
,Sulfur Dioxide,571.6313,"2,502.364",847.792
,Carbon Monoxide,"2,021.7","9,094.4","9,282.4"
,PM < 10 micron,292.4992,"3,036.262",750.212
,PM < 2.5 micron,197.6,"2,155.862",578.462
,Hydrogen Sulfide (H2S),10.661626,46.5057,22.3043
Bongards' Creameries Inc,Nitrogen Oxides,329.953,"1,326.252",371.206
,Sulfur Dioxide,312.471,"1,367.818","1,351.134"
,Carbon Monoxide,73.188,271.005,75.221
,PM < 10 micron,18.756,80.148,70.388
,PM < 2.5 micron,14.435,61.292,51.532
Broadway Generation Plant,Nitrogen Oxides,698.59,"3,060.33",4.85
,Sulfur Dioxide,0.426,1.878,0.0044
,Carbon Monoxide,20.07,87.94,0.7
,PM < 10 micron,6.23,27.29,0.0575
,PM < 2.5 micron,6.23,27.29,0.0575
Brunswick New York Mills Operations,PM < 10 micron,71.21,"1,807.27",48.06
,PM < 2.5 micron,71.21,"1,807.27",48.06
Buffalo Lake Advanced Biofuels LLC,Nitrogen Oxides,36.21,158.58,101.93
,Sulfur Dioxide,0.12,0.48,0.22
,Carbon Monoxide,30.24,132.47,94.93
,PM < 10 micron,21.787,122.43,91.975
Buffalo WWTP,Nitrogen Oxides,38.44,168.42,48.89
,Sulfur Dioxide,8.88,30.17,6.47
,Carbon Monoxide,55.58,243.45,216.06
,PM < 10 micron,157.14,688.25,7.06
Burnsville Sanitary Landfill,Nitrogen Oxides,65.8,288.2,288.2
,Sulfur Dioxide,83.04,363.46,363.46
,Carbon Monoxide,105.62,462.51,462.51
,PM < 10 micron,45.342,277.26,73.28
,PM < 2.5 micron,14.002,73.13,52.87
Busch Agricultural Resources - Moorhead,Nitrogen Oxides,114.54,446.65,446.65
,Sulfur Dioxide,641.18,"2,691.57","2,804.97"
,Carbon Monoxide,21,80.12,80.12
,PM < 10 micron,38.826,149.06,166.04
,PM < 2.5 micron,38.826,"1,343.39",166.07
Bushmills Ethanol,Nitrogen Oxides,45.42,183.33,183.44
,Sulfur Dioxide,17.032,74.186,74.186
,Carbon Monoxide,54.96,382.44,194.81
,PM < 10 micron,172.324,"3,967.94",55.28
Cambria Co,Nitrogen Oxides,271.862,"1,190.756",68.676
,Sulfur Dioxide,3.874,16.928,1.036
,Carbon Monoxide,17.2154,75.4,15
,PM < 10 micron,3.222317000,27.707100000,2.620959
,PM < 2.5 micron,1.292,19.3836,1.151
Cargill AgHorizons - Fairmont,PM < 10 micron,,309.72,8.95
,PM < 2.5 micron,,52.87,4.94
Carley Foundry Inc,Nitrogen Oxides,9.5432,41.8015,41.8015
,Sulfur Dioxide,1.245337,5.450829,5.453729
,Carbon Monoxide,5.1869,23.7275,23.7275
,PM < 10 micron,15.4466122,183.590482,67.9460524
,PM < 2.5 micron,10.5107147,110.1667723,38.2028297
Carstens Industries Inc,PM < 10 micron,35.6,156,156
,PM < 2.5 micron,35.6,156,156
Centennial Generating Station,Nitrogen Oxides,283.85,"1,243.25",0
,Sulfur Dioxide,0.2,0.8,0
,Carbon Monoxide,32.85,143.9,0
,PM < 10 micron,2.2,9.65,0
,PM < 2.5 micron,2.2,9.65,0
Central Boiler Inc,Nitrogen Oxides,22.641,99.17,99.17
,Sulfur Dioxide,0.398,1.741,1.741
,Carbon Monoxide,12.484,54.677,54.677
,PM < 10 micron,3.564,15.605,15.605
,PM < 2.5 micron,3.564,15.605,15.605
Central MN Renewables,Nitrogen Oxides,40.16,87.8,49.4
,Sulfur Dioxide,6.28,14.08,11.54
,Carbon Monoxide,34.23,368.52,50
,PM < 10 micron,13.96795,389.5842,30.02432
,PM < 2.5 micron,12.31915,364.35332,25.65344
Central Specialties Inc - Plant 3,Nitrogen Oxides,116.054,508.7884,117.3256
,Sulfur Dioxide,81.6230975,357.85479705,74.2085647
,Carbon Monoxide,193.002789862,846.134619607,176.4605
,PM < 10 micron,478.05285,"2,099.028183",39.262122
,PM < 2.5 micron,449.882975,"1,970.4699705",31.815647
,Hydrogen Sulfide (H2S),0.07435718,0.3256847,0.06701555
Central Specialties Inc - Plant 4,Nitrogen Oxides,102.754,449.9584,105.6556
,Sulfur Dioxide,81.6227975,357.45699705,74.2885647
,Carbon Monoxide,185.102789862,810.794619607,169.3605
,PM < 10 micron,488.72285,"2,140.548183",41.946122
,PM < 2.5 micron,450.152975,"1,971.6199705",31.365647
